Altium Designer Pick and Place Locations
C:\Users\Alex\My Drive\School\Classes\Capstone 1 & 2\Altium Designer Projects\Arduino_Prototype\Project Outputs for MEGA2560_Rev3e\Pick Place\Pick Place for MEGA2560_Rev3e.csv

========================================================================================================================
File Design Information:

Date:       26/02/24
Time:       10:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L1","MH2029-300Y","TopLayer","0805","11.9891","41.5163","180","BLM21"
"ICSP1","ICSP","TopLayer","2X03","18.3137","46.2407","180","3x2 M V h 8,5 mm p2,54"
"IC4","ATMEGA16U2-MU","TopLayer","MLF32","19.9647","34.8107","90","8-bit Microcontroller with 16K Bytes of ISP Flash and USB Controller   ATMEGA16U2-MUR"
"C10","1uF","TopLayer","C0603-ROUND","15.3419","37.2237","180","1uF 0603"
"RESET-EN","SJ","TopLayer","SJ","27.9657","15.7607","0","SMD solder JUMPER"
"C11","100nF","TopLayer","C0603-ROUND","24.7907","29.3497","0","100nF 0603 50V"
"C12","100nF","TopLayer","C0603-ROUND","21.6157","17.1577","180","100nF 0603 50V"
"T1","PMV48XP","TopLayer","SOT-23","9.1697","25.8953","270","20 V, 3.5 A P-channel Trench MOSFET - PMV48XP"
"C7","100nF","TopLayer","C0603-ROUND","27.9657","18.3007","0","100nF 0603 50V"
"L","Yellow","TopLayer","CHIPLED_0805","27.9657","42.1767","90","LED YELLOW - SMD - 0805"
"C9","100nF","TopLayer","C0603-ROUND","12.0907","29.3497","180","100nF 0603 50V"
"F1","MF-MSMF050-2 500mA","TopLayer","L1812","4.4707","26.6827","90","500 mA Multifuse � Polyfuse"
"X2","0056_USB-B-S-RA-WT-SPCC","TopLayer","PN61729","6.1906","38.1127","270","USB - B"
"TX","Yellow","TopLayer","CHIPLED_0805","27.9657","36.5887","90","LED YELLOW - SMD - 0805"
"RX","Yellow","TopLayer","CHIPLED_0805","27.9657","34.3027","90","LED YELLOW - SMD - 0805"
"C13","1uF","TopLayer","C0603-ROUND","27.9657","21.6027","0","1uF 0603"
"C8","100nF","TopLayer","C0603-ROUND","12.0907","31.0007","180","100nF 0603 50V"
"C1","22p","TopLayer","C0603-ROUND","33.5537","14.6177","270","22pF 0603"
"C4","100nF","TopLayer","C0603-ROUND","38.6337","7.1247","0","100nF 0603 50V"
"C5","100nF","TopLayer","C0603-ROUND","59.0553","39.3827","0","100nF 0603 50V"
"ADCL","FH254-108DF08500V","TopLayer","1X08","59.7157","2.5527","0","Female Connector strip for Arduino bases - 8x1 F V h 8,5 p2,54mm"
"C2","100nF","TopLayer","C0603-ROUND","14.3767","17.6657","270","100nF 0603 50V"
"C6","100nF","TopLayer","C0603-ROUND","40.0705","30.4317","180","100nF 0603 50V"
"C3","100nF","TopLayer","C0603-ROUND","27.9657","44.4627","0","100nF 0603 50V"
"IC1","1870_LD1117S50CTR","TopLayer","LINEAR_SOT223","8.6615","17.7927","90","Low-dropout linear regulator 5V  -LM1117IMPX-5.0"
"FD3","FIDUCIALMOUNT","TopLayer","FIDUCIA-MOUNT","1.8037","38.1127","0",""
"FD2","FIDUCIALMOUNT","TopLayer","FIDUCIA-MOUNT","2.6927","2.4257","0",""
"FD1","FIDUCIALMOUNT","TopLayer","FIDUCIA-MOUNT","70.8663","38.2049","0",""
"X1","POWERSUPPLY_DC21MMX","TopLayer","POWERSUPPLY_DC-21MM","8.7125","6.1976","90",""
"D1","M7","TopLayer","SMB","21.6157","2.8067","180","1.0A 40V SURFACE MOUNT GLASS PASSIVATED RECTIFIER   M7"
"ON","Green","TopLayer","CHIPLED_0805","76.2257","36.8427","90","LED GREEN - SMD-0805"
"PC2","47uF","TopLayer","PANASONIC_D","25.5527","9.1567","90","47uF"
"PC1","47uF","TopLayer","PANASONIC_D","18.4407","9.1567","90","47uF"
"ICSP","ICSP","TopLayer","2X03","64.9227","27.9527","270","3x2 M V h 8,5 mm p2,54"
